Gene_A	Gene_B	Score
SERPINB13	SPRR1A	0.512
SERPINB13	TMPRSS11D	0.517
SERPINB13	SERPINB4	0.528
SERPINB13	CLCA2	0.544
SERPINB13	S100A7	0.558
SERPINB13	KRT6A	0.649
SERPINB13	SERPINB3	0.779
NUF2	E2F7	0.461
NUF2	H3C12	0.473
NUF2	RAD54L	0.506
NUF2	GTSE1	0.531
NUF2	SLCO6A1	0.554
NUF2	MCM10	0.595
NUF2	CDC25C	0.66
NUF2	FOXM1	0.689
NUF2	LY6K	0.709
NUF2	KIF18B	0.729
NUF2	CKAP2L	0.765
NUF2	CDC45	0.816
NUF2	CDCA3	0.844
NUF2	KIF14	0.872
NUF2	CDCA2	0.886
NUF2	UBE2C	0.887
NUF2	HJURP	0.89
NUF2	SKA3	0.893
NUF2	DEPDC1	0.898
NUF2	EXO1	0.899
NUF2	KIF4A	0.911
NUF2	KIF2C	0.935
NUF2	CENPA	0.936
NUF2	MELK	0.936
NUF2	SKA1	0.939
NUF2	TPX2	0.947
NUF2	BIRC5	0.949
NUF2	AURKB	0.95
NUF2	NEK2	0.952
NUF2	PBK	0.96
NUF2	CDC20	0.962
NUF2	BUB1B	0.98
NUF2	ASPM	0.98
NUF2	TTK	0.989
ABCA12	IVL	0.464
ABCA12	CASP14	0.545
ABCA12	SDR9C7	0.651
ABCA12	CERS3	0.722
ABCA12	ALOXE3	0.806
STXBP5L	RIMS2	0.44
HTR2C	GNG4	0.453
HTR2C	SERPINB3	0.546
HTR2C	GABRA3	0.547
MMP10	IGF2BP1	0.408
MMP10	CA9	0.517
MMP10	COL7A1	0.667
MMP10	MMP1	0.789
MMP10	MMP3	0.973
SERPINB3	KRT17	0.403
SERPINB3	S100A7A	0.422
SERPINB3	S100A2	0.425
SERPINB3	LGALS7	0.431
SERPINB3	SPRR3	0.448
SERPINB3	IVL	0.476
SERPINB3	CASP14	0.502
SERPINB3	SERPINB5	0.509
SERPINB3	KRT16	0.526
SERPINB3	SPRR1B	0.543
SERPINB3	KRT6A	0.588
SERPINB3	S100A7	0.757
SERPINB3	SERPINB4	0.999
TMPRSS11D	SPRR3	0.401
TMPRSS11D	TMPRSS4	0.437
TMPRSS11D	SERPINB4	0.478
